suri_replacements=81
hex_replacements=64
leftover_spaced=[]

HEX	Pung Cheon So Chuk	→	Small Restraint
HEX	San Cheon Dae Chuk	→	Great Restraint
HEX	Noe Cheon Dae Jang	→	Great Power
HEX	Cheon Hwa Dong In	→	Fellowship
HEX	Cheon Roe Mu Mang	→	Innocence
HEX	Taek Pung Dae Gwa	→	Excess
HEX	Pung Taek Jung Bu	→	Inner Truth
HEX	Hwa Cheon Dae Yu	→	Great Possession
HEX	Noe Taek Gwi Mae	→	Maiden
HEX	Hwa Roe Seo Hap	→	Biting Through
HEX	Ji Hwa Myeong I	→	Darkening
HEX	Taek Cheon Kwae	→	Breakthrough
HEX	Pung Hwa Ga In	→	Family
HEX	Taek Hwa Hyeok	→	Revolution
HEX	Hwa Pung Jeong	→	Cauldron
HEX	Noe San So Gwa	→	Small Excess
HEX	Geon Wi Cheon	→	Creative
HEX	Cheon Su Song	→	Conflict
HEX	Cheon Taek Ri	→	Treading
HEX	Noe Pung Hang	→	Duration
HEX	Cheon San Dun	→	Retreat
HEX	Cheon Pung Gu	→	Encounter
HEX	Ji Pung Seung	→	Ascent
HEX	Su Pung Jeong	→	Well
HEX	Pung San Jeom	→	Development
HEX	Ji Cheon Tae	→	Peace
HEX	Ji San Gyeom	→	Modesty
HEX	Pung Ji Gwan	→	Contemplation
HEX	Taek San Ham	→	Influence
HEX	Hwa Taek Gyu	→	Opposition
HEX	San Taek Son	→	Decrease
HEX	Taek Ji Chwe	→	Gathering
HEX	Noe Hwa Pung	→	Abundance
HEX	Hwa San Ryeo	→	Wanderer
HEX	Pung Su Hwan	→	Dispersion
HEX	Su Taek Jeol	→	Limitation
HEX	Su Hwa Gi Je	→	Completion
HEX	Hwa Su Mi Je	→	Incomplete
HEX	San Su Mong	→	Folly
HEX	Su Cheon Su	→	Waiting
HEX	Cheon Ji Bi	→	Standstill
HEX	Taek Roe Su	→	Following
HEX	San Pung Go	→	Repair
HEX	Ji Taek Rim	→	Approach
HEX	Su San Geon	→	Obstruction
HEX	Pung Roe Ik	→	Increase
HEX	Taek Su Gon	→	Oppression
HEX	Son Wi Pung	→	Gentle
HEX	Tae Wi Taek	→	Joyous
HEX	Su Roe Dun	→	Beginnings
HEX	San Hwa Bi	→	Grace
HEX	San Ji Bak	→	Splitting
HEX	Ji Roe Bok	→	Return
HEX	Hwa Ji Jin	→	Progress
HEX	Noe Su Hae	→	Deliverance
HEX	Jin Wi Roe	→	Arousing
HEX	Gan Wi San	→	Stillness
HEX	Gon Wi Ji	→	Receptive
HEX	Noe Ji Ye	→	Enthusiasm
HEX	San Roe I	→	Nourishment
HEX	Gam Wi Su	→	Abyss
HEX	Ji Su Sa	→	Army
HEX	Su Ji Bi	→	Union
HEX	I Wi Hwa	→	Clarity
SURI	Seongyeon Gomyeong	→	Nobility	(x1)
SURI	Biryong Seungcheon	→	Foresight	(x1)
SURI	Ilheung Jungcheon	→	Prestige	(x1)
SURI	Gwonwi Chungcheon	→	Power & Glory	(x1)
SURI	Geukseong Geuksoe	→	Extremes	(x1)
SURI	Myeongseong Bugwi	→	Late Bloom	(x1)
SURI	Gyeseung Baljeon	→	Stability	(x1)
SURI	Chongmyeong Jimo	→	Wisdom	(x1)
SURI	Myeongmang Sahae	→	Breakthrough	(x1)
SURI	Gwollyeok Jaemul	→	Adventure	(x1)
SURI	Gilhyong Sangban	→	Mixed Fate	(x1)
SURI	Byeonhwa Gongheo	→	Emptiness	(x1)
SURI	Baekjeon Baekpae	→	Defeat	(x1)
SURI	Ilhwak Cheongeum	→	Pioneering	(x1)
SURI	Byeonjeon Musang	→	Diligent Success	(x1)
SURI	Hyeongtong Gyeok	→	Wise Growth	(x1)
SURI	Pyeongsang Gyeok	→	Ordinary	(x1)
SURI	Cheonji Gaebyeok	→	Ultimate Peak	(x1)
SURI	Maengho Chullim	→	Independence	(x1)
SURI	Subok Gyeomjeon	→	Perseverance	(x1)
SURI	Yeongung Pungpa	→	Turbulence	(x1)
SURI	Paran Byeondong	→	Upheaval	(x1)
SURI	Chulbal Gwonwi	→	New Beginning	(x1)
SURI	Jidojeok Inmul	→	Prosperity	(x1)
SURI	Jungin Sinmang	→	Renewal	(x1)
SURI	Deokmang Yubok	→	Harmony	(x1)
SURI	Bugwi Yeongdal	→	Success	(x1)
SURI	Jungdo Jwajeol	→	Setback	(x1)
SURI	Bugwi Yeonghwa	→	Self-Made	(x1)
SURI	Jaehwa Yeonsok	→	Continuity	(x1)
SURI	Yeonggeol Sibi	→	Obstruction	(x1)
SURI	Jeolmang Bulgu	→	Hopelessness	(x1)
SURI	Yeongdal Gyeok	→	Honor & Wealth	(x1)
SURI	Soemyeol Gyeok	→	Decline	(x1)
SURI	Gongmang Gyeok	→	Void	(x1)
SURI	Gunggeuk Gyeok	→	Exhaustion	(x1)
SURI	Jesa Bulseong	→	Trial	(x1)
SURI	Bugwi Bongnok	→	Fortune	(x1)
SURI	Daejae Muyong	→	Wasted Talent	(x1)
SURI	Mansa Heomang	→	Emptiness	(x1)
SURI	Bagyak Bakbok	→	Isolation	(x1)
SURI	Baeksa Silpae	→	Failure	(x1)
SURI	Duryeong Jimo	→	Mastery	(x1)
SURI	Gwonwi Indeok	→	Authority	(x1)
SURI	Wise Gangjung	→	Glory	(x1)
SURI	Paega Mangsin	→	Defeat	(x1)
SURI	Tongdal Sahae	→	Resurgence	(x1)
SURI	Gongung Singo	→	Abundance	(x1)
SURI	Baehu Jojeong	→	Intrigue	(x1)
SURI	Seonga Euntoe	→	Decline	(x1)
